S.No,Player,TYPE,Base_Price,COST,2021_Squad,Team
579,Ashutosh Sharma,ALL-ROUNDER,20 Lakh,0,,Unsold
580,Vivrant Sharma,ALL-ROUNDER,20 Lakh,0,,Unsold
581,Kumar Kartikeya Singh,ALL-ROUNDER,20 Lakh,0,,Unsold
582,Ravi Chauhan,ALL-ROUNDER,20 Lakh,0,,Unsold
583,Shafiqullah Ghafari,ALL-ROUNDER,20 Lakh,0,,Unsold
584,M. Mohammed,ALL-ROUNDER,20 Lakh,0,,Unsold
585,Pulkit Narang,ALL-ROUNDER,20 Lakh,0,,Unsold
586,Pradosh Paul,ALL-ROUNDER,20 Lakh,0,,Unsold
587,Pushpendra Singh Rathore,ALL-ROUNDER,20 Lakh,0,,Unsold
588,Jason Sangha,ALL-ROUNDER,20 Lakh,0,,Unsold
589,Purnank Tyagi,ALL-ROUNDER,20 Lakh,0,,Unsold
590,Samarth Vyas,ALL-ROUNDER,20 Lakh,0,,Unsold
591,Duan Jansen,ALL-ROUNDER,20 Lakh,0,,Unsold
592,Dev Lakra,ALL-ROUNDER,20 Lakh,0,,Unsold
593,Ajay Mandal,ALL-ROUNDER,20 Lakh,0,,Unsold
594,Lakhan Raja,ALL-ROUNDER,20 Lakh,0,,Unsold
595,Girinath Reddy,ALL-ROUNDER,20 Lakh,0,,Unsold
596,Siddhant Sharma,ALL-ROUNDER,20 Lakh,0,,Unsold
597,Matthew Short,ALL-ROUNDER,20 Lakh,0,,Unsold
598,Saurin Thakar,ALL-ROUNDER,20 Lakh,0,,Unsold
599,Nyeem Young,ALL-ROUNDER,20 Lakh,0,,Unsold
600,Yuvraj Chaudhary,ALL-ROUNDER,20 Lakh,0,,Unsold
601,Khizar Dafedar,ALL-ROUNDER,20 Lakh,0,,Unsold
602,Sahil Dhiwan,ALL-ROUNDER,20 Lakh,0,,Unsold
603,Arjit Gupta,ALL-ROUNDER,20 Lakh,0,,Unsold
604,Mickil Jaiswal,ALL-ROUNDER,20 Lakh,0,,Unsold
605,Ryan John,ALL-ROUNDER,20 Lakh,0,,Unsold
606,J. Kousik,ALL-ROUNDER,20 Lakh,0,,Unsold
607,Jitender Pal,ALL-ROUNDER,20 Lakh,0,,Unsold
608,Jonty Sidhu,ALL-ROUNDER,20 Lakh,0,,Unsold
609,Yashovardhan Singh,ALL-ROUNDER,20 Lakh,0,,Unsold
610,Beyers Swanepoel,ALL-ROUNDER,20 Lakh,0,,Unsold
611,Pranshu Vijayran,ALL-ROUNDER,20 Lakh,0,,Unsold
612,Ishan Afridi,ALL-ROUNDER,20 Lakh,0,,Unsold
613,Mohammed Afridi,ALL-ROUNDER,20 Lakh,0,,Unsold
614,Prerit Agrawal,ALL-ROUNDER,20 Lakh,0,,Unsold
615,Aidan Cahill,ALL-ROUNDER,20 Lakh,0,,Unsold
616,Mark Deyal,ALL-ROUNDER,20 Lakh,0,,Unsold
617,Nidhish Rajagopal,ALL-ROUNDER,20 Lakh,0,,Unsold
618,Bavanaka Sandeep,ALL-ROUNDER,20 Lakh,0,,Unsold
619,Safyaan Sharif,ALL-ROUNDER,20 Lakh,0,,Unsold
620,Henry Shipley,ALL-ROUNDER,20 Lakh,0,,Unsold
621,Maxwell Swaminathan,ALL-ROUNDER,20 Lakh,0,,Unsold
622,Johan Van Dyk,ALL-ROUNDER,20 Lakh,0,,Unsold
623,Dunith Wellalage,ALL-ROUNDER,20 Lakh,0,,Unsold
624,Agnivesh Ayachi,ALL-ROUNDER,20 Lakh,0,PBKS,Unsold
625,Rohan Rana,ALL-ROUNDER,20 Lakh,0,,Unsold
626,Nitish Reddy,ALL-ROUNDER,20 Lakh,0,,Unsold
627,Hardik Tamore,WICKETKEEPER,20 Lakh,0,,Unsold
628,Mihir Hirwani,BOWLER,20 Lakh,0,,Unsold
629,Sairaj Patil,BATTER,20 Lakh,0,,Unsold
630,Monu Singh,BOWLER,20 Lakh,0,,Unsold
631,Nivethan Radhakrishnan,BOWLER,20 Lakh,0,,Unsold
632,Lance Morris,BOWLER,20 Lakh,0,,Unsold
633,Aaron Hardie,ALL-ROUNDER,20 Lakh,0,,Unsold
